year,lat,lon,onset_day
1999,51.75,348.5,40.0
1999,51.75,348.75,40.0
1999,51.75,349.0,48.0
1999,51.75,349.25,16.0
1999,51.75,349.5,32.0
1999,51.75,349.75,232.0
1999,51.75,351.75,216.0
1999,51.75,352.0,216.0
1999,51.75,352.25,216.0
1999,51.75,352.5,216.0
1999,51.75,352.75,240.0
1999,51.75,353.0,168.0
1999,51.75,353.25,160.0
1999,51.75,353.5,248.0
1999,51.75,353.75,328.0
1999,51.75,354.0,232.0
1999,51.75,354.25,304.0
1999,51.75,354.5,304.0
1999,51.75,354.75,176.0
1999,51.75,355.5,184.0
1999,52.0,345.0,25.0
1999,52.0,345.25,192.0
1999,52.0,345.5,232.0
1999,52.0,345.75,200.0
1999,52.0,346.0,200.0
1999,52.0,346.25,40.0
1999,52.0,346.5,48.0
1999,52.0,346.75,64.0
1999,52.0,347.0,64.0
1999,52.0,347.25,72.0
1999,52.0,347.5,48.0
1999,52.0,347.75,40.0
1999,52.0,348.0,25.0
1999,52.0,348.25,25.0
1999,52.0,348.5,88.0
1999,52.0,348.75,25.0
1999,52.0,349.0,48.0
1999,52.0,349.25,8.0
1999,52.0,349.5,232.0
1999,52.0,349.75,160.0
1999,52.0,352.25,48.0
1999,52.0,352.5,216.0
1999,52.0,352.75,240.0
1999,52.0,353.0,176.0
1999,52.0,353.25,248.0
1999,52.0,353.5,248.0
1999,52.0,353.75,248.0
1999,52.0,354.0,240.0
1999,52.0,354.25,240.0
1999,52.0,354.5,288.0
1999,52.0,354.75,296.0
1999,52.0,355.0,304.0
1999,52.25,345.0,56.0
1999,52.25,345.25,25.0
1999,52.25,345.5,64.0
1999,52.25,345.75,48.0
1999,52.25,346.0,200.0
1999,52.25,346.25,200.0
1999,52.25,346.5,200.0
1999,52.25,346.75,56.0
1999,52.25,347.0,64.0
1999,52.25,347.25,64.0
1999,52.25,347.5,64.0
1999,52.25,347.75,64.0
1999,52.25,348.0,72.0
1999,52.25,348.25,40.0
1999,52.25,348.5,200.0
1999,52.25,348.75,40.0
1999,52.25,349.0,25.0
1999,52.25,349.25,208.0
1999,52.25,349.5,200.0
1999,52.25,349.75,144.0
1999,52.25,350.0,136.0
1999,52.25,353.25,240.0
1999,52.25,353.5,176.0
1999,52.25,353.75,176.0
1999,52.25,354.0,264.0
1999,52.25,354.25,152.0
1999,52.25,354.5,152.0
1999,52.25,354.75,152.0
1999,52.25,355.0,304.0
1999,52.25,355.25,200.0
1999,52.25,355.5,296.0
1999,52.25,355.75,160.0
1999,52.5,345.0,64.0
1999,52.5,345.25,72.0
1999,52.5,345.5,64.0
1999,52.5,345.75,56.0
1999,52.5,346.0,216.0
1999,52.5,346.25,48.0
1999,52.5,346.5,40.0
1999,52.5,346.75,48.0
1999,52.5,347.0,48.0
1999,52.5,347.25,32.0
1999,52.5,347.5,56.0
1999,52.5,347.75,48.0
1999,52.5,348.0,56.0
1999,52.5,348.25,32.0
1999,52.5,348.5,40.0
1999,52.5,348.75,25.0
1999,52.5,349.0,25.0
1999,52.5,349.25,208.0
1999,52.5,349.5,200.0
1999,52.5,349.75,200.0
1999,52.5,350.0,200.0
1999,52.5,353.75,288.0
1999,52.5,354.0,248.0
1999,52.5,354.25,152.0
1999,52.5,354.5,152.0
1999,52.5,354.75,272.0
1999,52.5,355.0,184.0
1999,52.5,355.25,88.0
1999,52.5,355.5,200.0
1999,52.5,355.75,160.0
1999,52.75,345.0,80.0
1999,52.75,345.25,64.0
1999,52.75,345.5,72.0
1999,52.75,345.75,32.0
1999,52.75,346.0,32.0
1999,52.75,346.25,32.0
1999,52.75,346.5,40.0
1999,52.75,346.75,25.0
1999,52.75,347.0,200.0
1999,52.75,347.25,200.0
1999,52.75,347.5,64.0
1999,52.75,347.75,25.0
1999,52.75,348.0,64.0
1999,52.75,348.25,96.0
