Survey_name,Station_number,Prime_number,DateTime,Latitude,Longitude,Sample_depth,Smartbuoy,TChlA_ug/L,TChl_ug/L,AP_ug/L,Degrad_products_ug/L,TP_ug/L,Fuc_ug/L,Per_ug/L,Hex_ug/L,But_ug/L,Allo_ug/L,Chlb_ug/L,Zea_ug/L
CEND16_21,226,60,28/10/2021 22:12,51.22023833,-5.019916667,4,No data,0.578292712,0.764077863,0.551087509,0.015245282,1.129380221,0.187044622,0.009458108,0.021682967,0.012035362,0.025274482,0.096419333,0.003343411
CEND16_21,244,50,30/10/2021 00:38,50.48567667,-5.082263333,4,No data,0.486717198,0.674685091,0.5240481,0,1.010765298,0.141031928,0.008827116,0.024353805,0.007993607,0.019718007,0.110809131,0.005138352
CEND16_21,255,54,30/10/2021 19:54,50.87065,-5.65985,4,No data,0.538253282,0.77000955,0.651876653,0,1.190129936,0.086382273,0.020228759,0.083391816,0.02902934,0.024050475,0.121521676,0.019233271
CEND16_21,264,70,2/11/2021 5:21,51.07688167,-6.307731667,4,No data,0.551344966,0.782950252,0.653380926,0,1.204725891,0.092722045,0.022260643,0.096294418,0.028775708,0.02521066,0.108453111,0.00916174
CEND16_21,271,46,2/11/2021 22:29,50.38492833,-5.914283333,4,No data,0.333272601,0.494565726,0.443797893,0,0.777070494,0.043543701,0.018779578,0.050302182,0.016803646,0.016400626,0.084757915,0.006866822
CEND16_21,282,43,4/11/2021 5:12,50.24927333,-6.877943333,4,No data,0.162241141,0.253120789,0.264833589,0,0.427074731,0.021153216,0.0069215,0.057719595,0.012809126,0.004866175,0.037487925,0.002245285
CEND16_22,16,98,19/10/2022 05:12,49.568,-3.144,4.51,No data,0.57533795,0.731174642,0.494324099,0.02688472,1.06966205,0.102396536,0.008566949,0.0732304,0.004707941,0.026731225,0.069257188,0.004343339
CEND16_22,44,16,23/10/2022 23:57,49.842,-3.825,4.41,No data,0.466909791,0.583927402,0.365094007,0.085248004,0.832003798,0.05776907,0.005958517,0.038437318,0.004275806,0.024634096,0.088259681,0.00265219
CEND16_22,51,17,25/10/2022 00:13,50.166,-4.078,5.87,No data,0.878043684,1.125874644,0.719593603,0.093244756,1.597637287,0.196772639,0.008069702,0.052999134,0.008789637,0.03549416,0.136841319,0.004698971
CEND16_22,53,21,25/10/2022 02:30,50.002,-4.332,8.68,No data,1.229959887,1.544626673,1.00870908,0.17368587,2.238668967,0.289260583,0.020912845,0.099115536,0.013839919,0.03514798,0.148986181,0.004983086
